awayTeam,awayScore,homeTeam,homeScore,homeWin
NJD,7,SJS,2,False
CBJ,1,NYR,4,True
STL,2,EDM,3,True
VGK,4,BOS,5,True
CAR,4,CBJ,2,False
NYI,5,DET,3,False
MTL,3,FLA,4,True
BUF,3,TBL,2,False
ARI,2,TOR,4,True
WPG,1,DAL,4,True
MIN,1,NSH,6,True
COL,5,CHI,0,False
PIT,0,SEA,2,True
LAK,5,VAN,1,False
ANA,6,SJS,4,False
ARI,5,OTT,3,False
PHI,2,WSH,5,True
NJD,3,ANA,4,True
WPG,5,CAR,3,False
FLA,4,DET,0,False
EDM,2,SEA,1,False
COL,1,NSH,5,True
MIN,1,STL,3,True
VGK,2,BUF,7,True
OTT,2,PHI,4,True
MTL,3,TBL,4,True
NYR,3,TOR,4,True
BOS,1,NYI,5,True
CBJ,5,CHI,2,False
SJS,2,DAL,3,True
PIT,3,CGY,4,True
ARI,5,WSH,2,False
NJD,1,LAK,5,True
WPG,5,BUF,2,False
SJS,3,MIN,4,True
VAN,2,ANA,1,False
PIT,1,EDM,6,True
VGK,3,CBJ,6,True
FLA,4,NYR,2,False
STL,2,PHI,1,False
BOS,4,TOR,1,False
CHI,0,COL,5,True
SEA,4,CGY,2,False
FLA,5,NJD,3,False
CBJ,3,PIT,5,True
EDM,2,BOS,1,False
STL,2,NYI,4,True
MTL,4,NSH,3,False
SEA,4,WPG,3,False
CHI,5,ARI,2,False
VAN,2,LAK,1,False
DAL,7,SJS,6,False
BUF,1,TOR,2,True
DET,2,COL,7,True
OTT,1,ANA,2,True
TOR,1,BOS,4,True
MTL,1,CAR,4,True
EDM,2,CBJ,4,True
PHI,2,FLA,1,False
STL,1,NJD,4,True
WSH,6,PIT,0,False
CGY,6,TBL,3,False
BUF,2,NSH,4,True
MIN,5,ARI,2,False
VAN,3,VGK,1,False
OTT,3,LAK,4,True
