awayTeam,awayScore,homeTeam,homeScore,homeWin
CGY,4,TOR,5,True
LAK,4,MTL,2,False
CAR,3,NYI,0,False
MIN,3,VAN,0,False
COL,3,STL,2,False
LAK,5,CBJ,6,True
SEA,5,FLA,2,False
PHI,4,ARI,5,True
WSH,5,WPG,2,False
BOS,3,VGK,1,False
CGY,1,MTL,2,True
DAL,1,PIT,2,True
NJD,3,NYR,4,True
ANA,0,OTT,3,True
EDM,1,MIN,2,True
NSH,0,STL,1,True
ANA,0,TOR,7,True
CBJ,0,FLA,4,True
DAL,4,NJD,1,False
LAK,0,BUF,6,True
NYI,3,BOS,4,True
SEA,2,TBL,6,True
CAR,1,DET,0,False
EDM,6,NSH,3,False
VGK,6,WPG,5,False
WSH,7,CHI,3,False
PHI,2,COL,3,True
ARI,2,SJS,3,True
MTL,2,OTT,3,True
DET,1,MIN,4,True
VAN,4,CGY,3,False
ANA,5,MTL,2,False
CBJ,1,TBL,4,True
DAL,2,WSH,1,False
LAK,3,BOS,2,False
PHI,2,NJD,1,False
PIT,4,FLA,2,False
SEA,2,CAR,3,True
TOR,1,NYR,3,True
NSH,1,WPG,2,True
VGK,4,CHI,1,False
BUF,4,COL,2,False
STL,4,EDM,3,False
CHI,1,MIN,4,True
STL,5,CGY,2,False
NYI,4,ARI,5,True
CBJ,2,BOS,4,True
OTT,6,DET,3,False
ANA,4,EDM,3,False
DAL,4,CAR,5,True
NYR,6,PHI,3,False
TBL,5,MTL,1,False
TOR,2,WSH,5,True
FLA,4,NJD,2,False
BUF,5,ARI,2,False
NSH,1,COL,3,True
NYI,5,VGK,2,False
WPG,5,VAN,1,False
SJS,2,LAK,3,True
OTT,2,MIN,4,True
PIT,2,CAR,3,True
NYR,7,CHI,1,False
WPG,2,SEA,3,True
CGY,5,SJS,2,False
DAL,2,CBJ,1,False
DET,3,WSH,4,True
FLA,3,BOS,7,True
EDM,3,NSH,4,True
NYI,0,COL,1,True
BUF,3,VGK,2,False
MTL,3,ARI,2,False
STL,5,VAN,1,False
CBJ,3,PHI,5,True
NYR,2,PIT,3,True
NJD,1,CAR,4,True
